Batch Name,Total Tickets,Total Help Tickets,% Help Tickets,% Support Tickets,Help - Open,Help - Resolved,Help - Reopened,Help - Closed,Total Support Tickets,Support - Open,Support - Resolved,Support - Reopened,Support - Closed,Number of Users in Batch,Number of Active Users in Batch,Unique Users - Help,Unique Users - Support,Unique Users - Both Help & Support
IIMSDM-2505,3,3,100.00%,0.00%,0,3,0,0,0,0,0,0,0,219,124,2,0,0
IIMSI-DM-2507,25,24,96.00%,4.00%,0,24,0,0,1,0,1,0,0,208,205,19,1,0
IIMSI-DM-2511,15,14,93.33%,6.67%,0,14,0,0,1,0,1,0,0,104,101,11,1,0
IIMSI-DM-2605,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,3,0,0,0,0
IIMSI-EDGE-2511,23,20,86.96%,13.04%,0,20,0,0,3,0,3,0,0,148,146,15,3,2
IIMT-DM-2508,2,1,50.00%,50.00%,0,1,0,0,1,0,1,0,0,201,100,1,1,0
IIMT-DM-2509,2,1,50.00%,50.00%,0,1,0,0,1,0,1,0,0,201,99,1,1,0
IIMT-DM-2511,8,8,100.00%,0.00%,0,7,1,0,0,0,0,0,0,56,56,5,0,0
IIMT-FTAI-2602,3,3,100.00%,0.00%,0,3,0,0,0,0,0,0,0,43,5,3,0,0
IIMT-PM-2509,6,6,100.00%,0.00%,0,6,0,0,0,0,0,0,0,51,50,5,0,0
IIMT-PM-2601,3,3,100.00%,0.00%,0,3,0,0,0,0,0,0,0,49,49,3,0,0
IIT-FDN-2411,85,77,90.59%,9.41%,1,75,0,1,8,0,6,0,2,628,0,55,6,2
IIT-FDN-2412,117,112,95.73%,4.27%,19,91,2,0,5,0,5,0,0,1510,0,81,5,0
IIT-FDN-CSEH-2501,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,39,0,0,0,0
IIT-IIM,95,90,94.74%,5.26%,27,61,2,0,5,0,5,0,0,2121,0,73,5,1
IIT-IIM Foundation,69,65,94.20%,5.80%,2,56,7,0,4,0,4,0,0,323,0,44,3,1
IITG-AIML-2503,56,51,91.07%,8.93%,0,51,0,0,5,0,5,0,0,1109,1053,35,5,2
IITG-DC-2502,1,1,100.00%,0.00%,0,1,0,0,0,0,0,0,0,38,36,1,0,0
IITGCS-2406,6,6,100.00%,0.00%,3,3,0,0,0,0,0,0,0,735,211,5,0,0
IITGCS-2409,1,1,100.00%,0.00%,1,0,0,0,0,0,0,0,0,233,68,1,0,0
IITGDS-2501,132,131,99.24%,0.76%,0,128,3,0,1,0,0,0,1,1039,464,83,1,0
IITGDS-250120,141,136,96.45%,3.55%,0,135,1,0,5,0,4,0,1,1656,1146,95,5,2
IITGDS-2505,14,13,92.86%,7.14%,0,13,0,0,1,0,1,0,0,402,330,9,1,1
IITH-AIML-2507,97,90,92.78%,7.22%,4,86,0,0,7,0,7,0,0,1034,822,66,7,2
